id,symbol,type,entry_time,entry_price,sl,tp,exit_price,exit_time,pnl_pips,comment
1,GBPUSD,SELL,2025-01-02 23:15:00,1.23799,1.23949,1.23529,1.23949,2025-01-03 05:15:00,-150.00000000000568,SL Hit
2,GBPUSD,SELL,2025-01-08 03:15:00,1.24789,1.24939,1.24519,1.24519,2025-01-08 10:00:00,269.99999999999244,TP Hit
3,GBPUSD,SELL,2025-01-09 16:15:00,1.23019,1.23169,1.22749,1.23056,2025-01-09 23:45:00,-37.00000000002035,Strategy Exit (EMA Cross)
4,GBPUSD,SELL,2025-01-10 11:00:00,1.2291400000000001,1.23064,1.22644,1.23064,2025-01-10 11:30:00,-149.99999999998346,SL Hit
5,GBPUSD,SELL,2025-01-13 16:15:00,1.214,1.2155,1.2113,1.2155,2025-01-13 17:15:00,-150.00000000000568,SL Hit
6,GBPUSD,BUY,2025-01-14 05:15:00,1.22145,1.21995,1.22415,1.21995,2025-01-14 07:15:00,-149.99999999998346,SL Hit
7,GBPUSD,BUY,2025-01-20 12:15:00,1.21834,1.21684,1.22104,1.22001,2025-01-20 13:00:00,167.00000000000603,Strategy Exit (EMA Cross)
8,GBPUSD,BUY,2025-01-22 02:00:00,1.23455,1.23305,1.23725,1.23305,2025-01-22 03:45:00,-150.00000000000568,SL Hit
9,GBPUSD,BUY,2025-01-24 10:15:00,1.24004,1.23854,1.24274,1.24274,2025-01-24 11:15:00,269.99999999999244,TP Hit
10,GBPUSD,BUY,2025-01-24 22:30:00,1.24817,1.24667,1.25087,1.24667,2025-01-27 00:00:00,-150.00000000000568,SL Hit
11,GBPUSD,BUY,2025-01-27 05:00:00,1.2459,1.2444,1.2486,1.24526,2025-01-27 06:30:00,-63.999999999997385,Strategy Exit (EMA Cross)
12,GBPUSD,SELL,2025-01-28 12:15:00,1.2445599999999999,1.24606,1.24186,1.24186,2025-01-28 14:00:00,269.99999999999244,TP Hit
13,GBPUSD,SELL,2025-01-29 18:30:00,1.24333,1.24483,1.24063,1.24483,2025-01-29 19:15:00,-150.00000000000568,SL Hit
14,GBPUSD,BUY,2025-02-05 00:45:00,1.24754,1.24604,1.25024,1.25024,2025-02-05 09:15:00,269.99999999999244,TP Hit
15,GBPUSD,SELL,2025-02-06 21:30:00,1.2436,1.2451,1.2409,1.2451,2025-02-07 10:15:00,-150.00000000000568,SL Hit
16,GBPUSD,BUY,2025-02-13 11:45:00,1.2490999999999999,1.2476,1.2518,1.2476,2025-02-13 13:45:00,-149.99999999998346,SL Hit
17,GBPUSD,BUY,2025-02-17 00:30:00,1.25864,1.25714,1.26134,1.2582900000000001,2025-02-17 01:30:00,-34.99999999998504,Strategy Exit (EMA Cross)
18,GBPUSD,SELL,2025-02-18 10:00:00,1.2607,1.2622,1.258,1.2622,2025-02-18 10:30:00,-150.00000000000568,SL Hit
19,GBPUSD,BUY,2025-02-26 22:00:00,1.26767,1.26617,1.27037,1.26617,2025-02-27 03:00:00,-150.00000000000568,SL Hit
20,GBPUSD,SELL,2025-02-28 03:45:00,1.25942,1.26092,1.25672,1.26092,2025-02-28 15:15:00,-150.00000000000568,SL Hit
21,GBPUSD,SELL,2025-02-28 15:45:00,1.26023,1.26173,1.25753,1.26045,2025-02-28 16:00:00,-22.000000000010896,Strategy Exit (EMA Cross)
22,GBPUSD,BUY,2025-03-03 23:15:00,1.27041,1.26891,1.27311,1.26891,2025-03-04 02:45:00,-150.00000000000568,SL Hit
23,GBPUSD,BUY,2025-03-05 15:45:00,1.28226,1.28076,1.28496,1.28496,2025-03-05 16:15:00,270.00000000001467,TP Hit
24,GBPUSD,SELL,2025-03-11 00:30:00,1.28742,1.28892,1.28472,1.28892,2025-03-11 03:45:00,-150.00000000000568,SL Hit
25,GBPUSD,BUY,2025-03-11 17:00:00,1.29395,1.29245,1.29665,1.29284,2025-03-12 05:30:00,-110.99999999999443,Strategy Exit (EMA Cross)
26,GBPUSD,BUY,2025-03-12 17:00:00,1.29484,1.29334,1.29754,1.29754,2025-03-12 18:00:00,269.99999999999244,TP Hit
27,GBPUSD,BUY,2025-03-24 16:15:00,1.29394,1.29244,1.29664,1.29244,2025-03-24 16:45:00,-150.00000000000568,SL Hit
28,GBPUSD,SELL,2025-03-24 21:45:00,1.29203,1.29353,1.28933,1.29353,2025-03-25 12:00:00,-150.00000000000568,SL Hit
29,GBPUSD,BUY,2025-03-27 21:45:00,1.29482,1.29332,1.29752,1.29406,2025-03-28 07:30:00,-76.0000000000094,Strategy Exit (EMA Cross)
30,GBPUSD,SELL,2025-04-07 03:15:00,1.28994,1.29144,1.28724,1.29144,2025-04-07 04:00:00,-149.99999999998346,SL Hit
31,GBPUSD,SELL,2025-04-08 06:45:00,1.27762,1.27912,1.27492,1.27833,2025-04-08 07:00:00,-70.99999999999883,Strategy Exit (EMA Cross)
32,GBPUSD,BUY,2025-04-08 09:00:00,1.27875,1.27725,1.28145,1.27725,2025-04-08 10:00:00,-150.00000000000568,SL Hit
33,GBPUSD,BUY,2025-04-11 10:00:00,1.30429,1.30279,1.30699,1.30279,2025-04-11 10:15:00,-150.00000000000568,SL Hit
34,GBPUSD,BUY,2025-04-14 16:45:00,1.31559,1.31409,1.31829,1.31829,2025-04-14 17:30:00,269.99999999999244,TP Hit
35,GBPUSD,BUY,2025-04-16 18:00:00,1.32444,1.32294,1.32714,1.32294,2025-04-16 18:30:00,-150.00000000000568,SL Hit
36,GBPUSD,BUY,2025-04-21 14:45:00,1.33954,1.33804,1.34224,1.33804,2025-04-21 15:30:00,-150.00000000000568,SL Hit
37,GBPUSD,SELL,2025-04-23 05:45:00,1.33078,1.33228,1.32808,1.33228,2025-04-23 09:45:00,-149.99999999998346,SL Hit
38,GBPUSD,SELL,2025-04-25 10:45:00,1.32972,1.33122,1.32702,1.33122,2025-04-25 13:45:00,-150.00000000000568,SL Hit
39,GBPUSD,BUY,2025-04-29 05:15:00,1.3433,1.3418,1.346,1.3418,2025-04-29 06:00:00,-149.99999999998346,SL Hit
40,GBPUSD,BUY,2025-04-29 09:00:00,1.34144,1.33994,1.34414,1.33994,2025-04-29 12:45:00,-150.00000000000568,SL Hit
41,GBPUSD,SELL,2025-05-01 13:00:00,1.33259,1.33409,1.32989,1.33374,2025-05-01 13:45:00,-114.99999999999842,Strategy Exit (EMA Cross)
42,GBPUSD,BUY,2025-05-02 12:30:00,1.3309,1.3294,1.3336,1.3294,2025-05-02 13:30:00,-150.00000000000568,SL Hit
43,GBPUSD,SELL,2025-05-05 23:00:00,1.32952,1.33102,1.32682,1.32682,2025-05-06 03:15:00,269.99999999999244,TP Hit
44,GBPUSD,BUY,2025-05-06 19:30:00,1.33625,1.33475,1.33895,1.33475,2025-05-07 01:15:00,-149.99999999998346,SL Hit
45,GBPUSD,BUY,2025-05-08 09:00:00,1.33057,1.32907,1.33327,1.32907,2025-05-08 09:15:00,-150.00000000000568,SL Hit
46,GBPUSD,BUY,2025-05-12 00:45:00,1.32693,1.32543,1.32963,1.32773,2025-05-12 04:15:00,80.00000000001339,Strategy Exit (EMA Cross)
47,GBPUSD,BUY,2025-05-19 22:00:00,1.33549,1.33399,1.33819,1.33819,2025-05-20 10:00:00,269.99999999999244,TP Hit
48,GBPUSD,BUY,2025-05-21 13:00:00,1.34121,1.33971,1.34391,1.33971,2025-05-21 14:30:00,-150.00000000000568,SL Hit
