id,symbol,type,entry_time,entry_price,sl,tp,volume,exit_price,exit_time,pnl_pips,comment
1,USDCAD,SELL,2023-01-04 22:00:00,1.34822,1.0,1.0,0.01,1.0,2023-01-04 23:00:00,34821.99999999999,SL/TP hit
2,USDCAD,BUY,2023-01-06 11:00:00,1.3615300000000001,1.0,1.0,0.01,1.0,2023-01-06 12:00:00,-36153.00000000001,SL/TP hit
3,USDCAD,SELL,2023-01-09 05:00:00,1.3413300000000001,1.0,1.0,0.01,1.0,2023-01-09 06:00:00,34133.00000000001,SL/TP hit
4,USDCAD,BUY,2023-01-11 05:00:00,1.34335,1.0,1.0,0.01,1.0,2023-01-11 06:00:00,-34335.0,SL/TP hit
5,USDCAD,SELL,2023-01-12 20:00:00,1.33494,1.0,1.0,0.01,1.0,2023-01-12 21:00:00,33494.0,SL/TP hit
6,USDCAD,BUY,2023-01-16 15:00:00,1.33964,1.0,1.0,0.01,1.0,2023-01-16 16:00:00,-33963.99999999999,SL/TP hit
7,USDCAD,SELL,2023-01-16 17:00:00,1.33955,1.0,1.0,0.01,1.0,2023-01-16 18:00:00,33955.0,SL/TP hit
8,USDCAD,BUY,2023-01-16 22:00:00,1.34151,1.0,1.0,0.01,1.0,2023-01-16 23:00:00,-34150.99999999999,SL/TP hit
9,USDCAD,SELL,2023-01-18 10:00:00,1.33697,1.0,1.0,0.01,1.0,2023-01-18 11:00:00,33697.0,SL/TP hit
10,USDCAD,BUY,2023-01-19 00:00:00,1.34875,1.0,1.0,0.01,1.0,2023-01-19 01:00:00,-34874.999999999985,SL/TP hit
11,USDCAD,SELL,2023-01-20 20:00:00,1.33906,1.0,1.0,0.01,1.0,2023-01-20 21:00:00,33905.999999999985,SL/TP hit
12,USDCAD,BUY,2023-01-25 19:00:00,1.34103,1.0,1.0,0.01,1.0,2023-01-25 20:00:00,-34102.99999999999,SL/TP hit
13,USDCAD,SELL,2023-01-27 01:00:00,1.33164,1.0,1.0,0.01,1.0,2023-01-27 02:00:00,33163.99999999999,SL/TP hit
14,USDCAD,BUY,2023-01-31 00:00:00,1.33842,1.0,1.0,0.01,1.0,2023-01-31 01:00:00,-33841.99999999999,SL/TP hit
15,USDCAD,SELL,2023-02-01 11:00:00,1.33081,1.0,1.0,0.01,1.0,2023-02-01 12:00:00,33081.0,SL/TP hit
16,USDCAD,BUY,2023-02-03 07:00:00,1.33277,1.0,1.0,0.01,1.0,2023-02-03 08:00:00,-33277.0,SL/TP hit
17,USDCAD,SELL,2023-02-08 05:00:00,1.33924,1.0,1.0,0.01,1.0,2023-02-08 06:00:00,33923.99999999999,SL/TP hit
18,USDCAD,BUY,2023-02-09 10:00:00,1.34058,1.0,1.0,0.01,1.0,2023-02-09 11:00:00,-34058.00000000001,SL/TP hit
19,USDCAD,SELL,2023-02-10 23:00:00,1.3342800000000001,1.0,1.0,0.01,1.0,2023-02-13 00:00:00,33428.00000000001,SL/TP hit
20,USDCAD,BUY,2023-02-15 11:00:00,1.33955,1.0,1.0,0.01,1.0,2023-02-15 12:00:00,-33955.0,SL/TP hit
21,USDCAD,SELL,2023-02-20 23:00:00,1.3452,1.0,1.0,0.01,1.0,2023-02-21 00:00:00,34519.99999999999,SL/TP hit
22,USDCAD,BUY,2023-02-21 23:00:00,1.35337,1.0,1.0,0.01,1.0,2023-02-22 00:00:00,-35336.99999999999,SL/TP hit
23,USDCAD,SELL,2023-02-24 04:00:00,1.35358,1.0,1.0,0.01,1.0,2023-02-24 05:00:00,35358.0,SL/TP hit
24,USDCAD,BUY,2023-02-24 07:00:00,1.35446,1.0,1.0,0.01,1.0,2023-02-24 08:00:00,-35446.0,SL/TP hit
25,USDCAD,SELL,2023-02-28 09:00:00,1.35965,1.0,1.0,0.01,1.0,2023-02-28 10:00:00,35965.0,SL/TP hit
26,USDCAD,BUY,2023-03-01 03:00:00,1.36337,1.0,1.0,0.01,1.0,2023-03-01 04:00:00,-36336.99999999999,SL/TP hit
27,USDCAD,SELL,2023-03-02 18:00:00,1.36172,1.0,1.0,0.01,1.0,2023-03-02 19:00:00,36172.0,SL/TP hit
28,USDCAD,BUY,2023-03-06 14:00:00,1.36202,1.0,1.0,0.01,1.0,2023-03-06 15:00:00,-36202.0,SL/TP hit
29,USDCAD,SELL,2023-03-13 07:00:00,1.37321,1.0,1.0,0.01,1.0,2023-03-13 08:00:00,37321.0,SL/TP hit
30,USDCAD,BUY,2023-03-15 23:00:00,1.37611,1.0,1.0,0.01,1.0,2023-03-16 00:00:00,-37610.99999999999,SL/TP hit
31,USDCAD,SELL,2023-03-17 09:00:00,1.36844,1.0,1.0,0.01,1.0,2023-03-17 10:00:00,36844.00000000001,SL/TP hit
32,USDCAD,BUY,2023-03-22 07:00:00,1.3703,1.0,1.0,0.01,1.0,2023-03-22 08:00:00,-37030.00000000001,SL/TP hit
33,USDCAD,SELL,2023-03-23 16:00:00,1.36365,1.0,1.0,0.01,1.0,2023-03-23 17:00:00,36365.0,SL/TP hit
34,USDCAD,BUY,2023-03-24 12:00:00,1.37774,1.0,1.0,0.01,1.0,2023-03-24 13:00:00,-37773.99999999999,SL/TP hit
35,USDCAD,SELL,2023-03-27 23:00:00,1.366,1.0,1.0,0.01,1.0,2023-03-28 00:00:00,36600.00000000001,SL/TP hit
36,USDCAD,BUY,2023-04-05 18:00:00,1.34531,1.0,1.0,0.01,1.0,2023-04-05 19:00:00,-34531.0,SL/TP hit
37,USDCAD,SELL,2023-04-11 18:00:00,1.34805,1.0,1.0,0.01,1.0,2023-04-11 19:00:00,34804.99999999999,SL/TP hit
38,USDCAD,BUY,2023-04-17 16:00:00,1.34,1.0,1.0,0.01,1.0,2023-04-17 17:00:00,-34000.00000000001,SL/TP hit
39,USDCAD,SELL,2023-04-28 00:00:00,1.35916,1.0,1.0,0.01,1.0,2023-04-28 01:00:00,35915.99999999999,SL/TP hit
40,USDCAD,BUY,2023-05-02 23:00:00,1.36249,1.0,1.0,0.01,1.0,2023-05-03 00:00:00,-36248.99999999999,SL/TP hit
41,USDCAD,SELL,2023-05-04 19:00:00,1.35402,1.0,1.0,0.01,1.0,2023-05-04 20:00:00,35402.0,SL/TP hit
42,USDCAD,BUY,2023-05-10 02:00:00,1.33754,1.0,1.0,0.01,1.0,2023-05-10 03:00:00,-33753.99999999999,SL/TP hit
43,USDCAD,SELL,2023-05-11 07:00:00,1.33806,1.0,1.0,0.01,1.0,2023-05-11 08:00:00,33806.0,SL/TP hit
44,USDCAD,BUY,2023-05-11 12:00:00,1.34067,1.0,1.0,0.01,1.0,2023-05-11 13:00:00,-34067.0,SL/TP hit
45,USDCAD,SELL,2023-05-11 13:00:00,1.33991,1.0,1.0,0.01,1.0,2023-05-11 14:00:00,33990.99999999999,SL/TP hit
46,USDCAD,BUY,2023-05-11 15:00:00,1.34378,1.0,1.0,0.01,1.0,2023-05-11 16:00:00,-34377.99999999999,SL/TP hit
47,USDCAD,SELL,2023-05-16 04:00:00,1.34641,1.0,1.0,0.01,1.0,2023-05-16 05:00:00,34641.00000000001,SL/TP hit
48,USDCAD,BUY,2023-05-17 19:00:00,1.34477,1.0,1.0,0.01,1.0,2023-05-17 20:00:00,-34477.0,SL/TP hit
49,USDCAD,SELL,2023-05-18 13:00:00,1.34697,1.0,1.0,0.01,1.0,2023-05-18 14:00:00,34697.0,SL/TP hit
50,USDCAD,BUY,2023-05-18 22:00:00,1.34972,1.0,1.0,0.01,1.0,2023-05-18 23:00:00,-34972.0,SL/TP hit
51,USDCAD,SELL,2023-05-29 09:00:00,1.3584800000000001,1.0,1.0,0.01,1.0,2023-05-29 10:00:00,35848.00000000001,SL/TP hit
52,USDCAD,BUY,2023-05-31 07:00:00,1.36396,1.0,1.0,0.01,1.0,2023-05-31 08:00:00,-36396.0,SL/TP hit
53,USDCAD,SELL,2023-06-01 09:00:00,1.35732,1.0,1.0,0.01,1.0,2023-06-01 10:00:00,35732.00000000001,SL/TP hit
54,USDCAD,BUY,2023-06-06 05:00:00,1.3427,1.0,1.0,0.01,1.0,2023-06-06 06:00:00,-34270.0,SL/TP hit
55,USDCAD,SELL,2023-06-06 11:00:00,1.34252,1.0,1.0,0.01,1.0,2023-06-06 12:00:00,34251.99999999999,SL/TP hit
