id,symbol,type,entry_time,entry_price,sl,tp,volume,exit_price,exit_time,pnl_pips,comment
1,USDJPY,SELL,2023-01-09 21:00:00,131.567,131.667,131.347,0.01,131.667,2023-01-09 22:00:00,-99.99999999999432,SL/TP hit
2,USDJPY,BUY,2023-01-18 16:00:00,128.123,128.023,128.343,0.01,128.023,2023-01-18 17:00:00,-99.99999999999432,SL/TP hit
3,USDJPY,SELL,2023-01-19 05:00:00,128.289,128.389,128.069,0.01,128.069,2023-01-19 06:00:00,219.99999999999886,SL/TP hit
4,USDJPY,BUY,2023-01-20 07:00:00,129.171,129.071,129.391,0.01,129.071,2023-01-20 08:00:00,-99.99999999999432,SL/TP hit
5,USDJPY,SELL,2023-01-26 06:00:00,129.241,129.341,129.021,0.01,129.341,2023-01-26 07:00:00,-99.99999999999432,SL/TP hit
6,USDJPY,BUY,2023-01-27 01:00:00,129.803,129.703,130.023,0.01,129.703,2023-01-27 02:00:00,-99.99999999999432,SL/TP hit
7,USDJPY,SELL,2023-01-27 15:00:00,129.736,129.836,129.516,0.01,129.836,2023-01-27 16:00:00,-100.00000000002274,SL/TP hit
8,USDJPY,BUY,2023-01-30 21:00:00,130.555,130.455,130.775,0.01,130.455,2023-01-30 22:00:00,-99.99999999999432,SL/TP hit
9,USDJPY,SELL,2023-02-01 18:00:00,129.275,129.375,129.055,0.01,129.375,2023-02-01 20:00:00,-99.99999999999432,SL/TP hit
10,USDJPY,BUY,2023-02-06 01:00:00,132.056,131.956,132.276,0.01,131.956,2023-02-06 02:00:00,-100.00000000002274,SL/TP hit
11,USDJPY,SELL,2023-02-09 23:00:00,131.556,131.656,131.336,0.01,131.656,2023-02-10 02:00:00,-99.99999999999432,SL/TP hit
12,USDJPY,BUY,2023-02-13 10:00:00,132.44,132.34,132.66,0.01,132.66,2023-02-13 11:00:00,219.99999999999886,SL/TP hit
13,USDJPY,SELL,2023-03-03 22:00:00,135.828,135.928,135.608,0.01,135.928,2023-03-06 00:00:00,-99.99999999999432,SL/TP hit
14,USDJPY,BUY,2023-03-07 22:00:00,137.143,137.043,137.363,0.01,137.043,2023-03-08 00:00:00,-99.99999999999432,SL/TP hit
15,USDJPY,SELL,2023-03-09 23:00:00,136.114,136.214,135.894,0.01,136.214,2023-03-10 01:00:00,-99.99999999999432,SL/TP hit
16,USDJPY,BUY,2023-03-22 13:00:00,132.894,132.794,133.114,0.01,132.794,2023-03-22 14:00:00,-99.99999999999432,SL/TP hit
17,USDJPY,SELL,2023-03-23 00:00:00,131.46,131.56,131.24,0.01,131.24,2023-03-23 01:00:00,219.99999999999886,SL/TP hit
18,USDJPY,BUY,2023-03-28 03:00:00,130.792,130.692,131.012,0.01,130.692,2023-03-28 04:00:00,-99.99999999999432,SL/TP hit
19,USDJPY,SELL,2023-03-28 06:00:00,130.579,130.679,130.359,0.01,130.679,2023-03-28 07:00:00,-99.99999999999432,SL/TP hit
20,USDJPY,BUY,2023-03-29 10:00:00,131.964,131.864,132.184,0.01,131.864,2023-03-29 12:00:00,-99.99999999999432,SL/TP hit
21,USDJPY,SELL,2023-04-04 20:00:00,131.745,131.845,131.525,0.01,131.525,2023-04-05 02:00:00,219.99999999999886,SL/TP hit
22,USDJPY,BUY,2023-04-10 04:00:00,132.641,132.541,132.861,0.01,132.541,2023-04-10 05:00:00,-99.99999999999432,SL/TP hit
23,USDJPY,SELL,2023-04-14 00:00:00,132.563,132.663,132.343,0.01,132.343,2023-04-14 05:00:00,219.99999999999886,SL/TP hit
24,USDJPY,BUY,2023-04-17 03:00:00,133.844,133.744,134.064,0.01,134.064,2023-04-17 04:00:00,219.99999999999886,SL/TP hit
25,USDJPY,SELL,2023-04-21 09:00:00,133.886,133.986,133.666,0.01,133.986,2023-04-21 10:00:00,-99.99999999999432,SL/TP hit
26,USDJPY,BUY,2023-04-24 21:00:00,134.257,134.157,134.477,0.01,134.157,2023-04-25 00:00:00,-99.99999999999432,SL/TP hit
27,USDJPY,SELL,2023-04-25 12:00:00,133.844,133.944,133.624,0.01,133.944,2023-04-25 13:00:00,-99.99999999999432,SL/TP hit
28,USDJPY,BUY,2023-04-28 08:00:00,134.976,134.876,135.196,0.01,135.196,2023-04-28 09:00:00,219.99999999999886,SL/TP hit
29,USDJPY,SELL,2023-05-03 22:00:00,135.008,135.108,134.788,0.01,135.108,2023-05-03 23:00:00,-99.99999999999432,SL/TP hit
30,USDJPY,BUY,2023-05-09 16:00:00,135.065,134.965,135.285,0.01,134.965,2023-05-09 17:00:00,-99.99999999999432,SL/TP hit
