id,symbol,type,entry_time,entry_price,sl,tp,volume,exit_price,exit_time,pnl_pips,comment
1,EURUSD,BUY,2025-01-06 07:00:00,1.03088,1.0,1.0,0.01,1.0,2025-01-06 08:00:00,-3088.000000000002,SL/TP hit
2,EURUSD,SELL,2025-01-08 08:00:00,1.03514,1.0,1.0,0.01,1.0,2025-01-08 09:00:00,3513.9999999999945,SL/TP hit
3,EURUSD,BUY,2025-01-14 14:00:00,1.02476,1.0,1.0,0.01,1.0,2025-01-14 15:00:00,-2475.999999999989,SL/TP hit
4,EURUSD,SELL,2025-01-16 13:00:00,1.02901,1.0,1.0,0.01,1.0,2025-01-16 14:00:00,2900.9999999999977,SL/TP hit
5,EURUSD,BUY,2025-01-17 12:00:00,1.03034,1.0,1.0,0.01,1.0,2025-01-17 13:00:00,-3034.000000000003,SL/TP hit
6,EURUSD,SELL,2025-01-20 00:00:00,1.02739,1.0,1.0,0.01,1.0,2025-01-20 01:00:00,2739.0000000000023,SL/TP hit
7,EURUSD,BUY,2025-01-20 16:00:00,1.04149,1.0,1.0,0.01,1.0,2025-01-20 17:00:00,-4149.000000000003,SL/TP hit
8,EURUSD,SELL,2025-01-23 14:00:00,1.04034,1.0,1.0,0.01,1.0,2025-01-23 15:00:00,4034.000000000004,SL/TP hit
9,EURUSD,BUY,2025-01-24 07:00:00,1.0451,1.0,1.0,0.01,1.0,2025-01-24 08:00:00,-4509.999999999992,SL/TP hit
10,EURUSD,SELL,2025-01-28 08:00:00,1.04375,1.0,1.0,0.01,1.0,2025-01-28 09:00:00,4374.999999999995,SL/TP hit
11,EURUSD,BUY,2025-02-04 13:00:00,1.03221,1.0,1.0,0.01,1.0,2025-02-04 14:00:00,-3221.000000000007,SL/TP hit
12,EURUSD,SELL,2025-02-06 17:00:00,1.03692,1.0,1.0,0.01,1.0,2025-02-06 18:00:00,3692.000000000006,SL/TP hit
13,EURUSD,BUY,2025-02-11 21:00:00,1.03583,1.0,1.0,0.01,1.0,2025-02-11 22:00:00,-3583.0000000000027,SL/TP hit
14,EURUSD,SELL,2025-02-18 04:00:00,1.04675,1.0,1.0,0.01,1.0,2025-02-18 05:00:00,4675.000000000006,SL/TP hit
15,EURUSD,BUY,2025-02-20 20:00:00,1.04977,1.0,1.0,0.01,1.0,2025-02-20 21:00:00,-4977.000000000009,SL/TP hit
16,EURUSD,SELL,2025-02-25 02:00:00,1.04628,1.0,1.0,0.01,1.0,2025-02-25 03:00:00,4628.000000000009,SL/TP hit
17,EURUSD,BUY,2025-02-25 21:00:00,1.05102,1.0,1.0,0.01,1.0,2025-02-25 22:00:00,-5102.000000000006,SL/TP hit
18,EURUSD,SELL,2025-02-27 04:00:00,1.04708,1.0,1.0,0.01,1.0,2025-02-27 05:00:00,4708.000000000001,SL/TP hit
19,EURUSD,BUY,2025-03-03 15:00:00,1.04719,1.0,1.0,0.01,1.0,2025-03-03 16:00:00,-4719.000000000006,SL/TP hit
20,EURUSD,SELL,2025-03-11 05:00:00,1.08541,1.0,1.0,0.01,1.0,2025-03-11 06:00:00,8540.999999999998,SL/TP hit
21,EURUSD,BUY,2025-03-11 08:00:00,1.08566,1.0,1.0,0.01,1.0,2025-03-11 09:00:00,-8566.000000000005,SL/TP hit
22,EURUSD,SELL,2025-03-11 09:00:00,1.08905,1.0,1.0,0.01,1.0,2025-03-11 10:00:00,8905.000000000007,SL/TP hit
23,EURUSD,BUY,2025-03-11 11:00:00,1.09086,1.0,1.0,0.01,1.0,2025-03-11 12:00:00,-9085.999999999993,SL/TP hit
24,EURUSD,SELL,2025-03-13 04:00:00,1.08951,1.0,1.0,0.01,1.0,2025-03-13 05:00:00,8950.999999999996,SL/TP hit
25,EURUSD,BUY,2025-03-17 02:00:00,1.08793,1.0,1.0,0.01,1.0,2025-03-17 03:00:00,-8793.000000000005,SL/TP hit
26,EURUSD,SELL,2025-03-19 18:00:00,1.08853,1.0,1.0,0.01,1.0,2025-03-19 19:00:00,8852.999999999998,SL/TP hit
27,EURUSD,BUY,2025-03-27 23:00:00,1.07975,1.0,1.0,0.01,1.0,2025-03-28 00:00:00,-7974.999999999998,SL/TP hit
28,EURUSD,SELL,2025-04-01 11:00:00,1.08168,1.0,1.0,0.01,1.0,2025-04-01 12:00:00,8167.999999999996,SL/TP hit
29,EURUSD,BUY,2025-04-02 21:00:00,1.08536,1.0,1.0,0.01,1.0,2025-04-02 22:00:00,-8536.00000000001,SL/TP hit
30,EURUSD,SELL,2025-04-07 03:00:00,1.09663,1.0,1.0,0.01,1.0,2025-04-07 04:00:00,9662.999999999998,SL/TP hit
