id,symbol,type,entry_time,entry_price,sl,tp,exit_price,exit_time,pnl_pips,comment
1,EURUSD,SELL,2025-01-03 00:00:00,1.0261,1.0271,1.0241,1.0271,2025-01-03 02:45:00,-99.99999999998897,SL Hit
2,EURUSD,SELL,2025-01-03 03:45:00,1.02674,1.02774,1.02474,1.02774,2025-01-03 08:45:00,-100.00000000001118,SL Hit
3,EURUSD,SELL,2025-01-08 19:15:00,1.0303,1.0313,1.0283,1.0313,2025-01-08 20:15:00,-100.00000000001118,SL Hit
4,EURUSD,SELL,2025-01-10 11:15:00,1.03007,1.03107,1.02807,1.02998,2025-01-10 11:45:00,9.000000000014552,Strategy Exit (EMA Cross)
5,EURUSD,SELL,2025-01-13 02:15:00,1.02403,1.02503,1.02203,1.02203,2025-01-13 05:30:00,200.00000000000017,TP Hit
6,EURUSD,BUY,2025-01-14 14:30:00,1.02527,1.02427,1.02727,1.02427,2025-01-14 15:15:00,-99.99999999998897,SL Hit
7,EURUSD,SELL,2025-01-17 11:45:00,1.02964,1.03064,1.02764,1.03064,2025-01-17 13:00:00,-99.99999999998897,SL Hit
8,EURUSD,BUY,2025-01-21 23:15:00,1.04251,1.04151,1.04451,1.04151,2025-01-22 01:00:00,-100.00000000001118,SL Hit
9,EURUSD,BUY,2025-01-24 16:15:00,1.04751,1.04651,1.04951,1.04951,2025-01-24 17:00:00,200.00000000000017,TP Hit
10,EURUSD,BUY,2025-01-27 18:30:00,1.04929,1.04829,1.05129,1.04829,2025-01-27 20:30:00,-100.00000000001118,SL Hit
11,EURUSD,SELL,2025-01-28 09:00:00,1.04401,1.04501,1.04201,1.04201,2025-01-28 10:45:00,200.00000000000017,TP Hit
12,EURUSD,SELL,2025-01-29 18:30:00,1.0416,1.0426,1.0396,1.0426,2025-01-29 19:00:00,-99.99999999998897,SL Hit
13,EURUSD,SELL,2025-02-06 17:00:00,1.03708,1.03808,1.03508,1.03808,2025-02-06 20:00:00,-99.99999999998897,SL Hit
14,EURUSD,BUY,2025-02-12 03:45:00,1.03603,1.03503,1.03803,1.03803,2025-02-12 13:15:00,200.00000000000017,TP Hit
15,EURUSD,SELL,2025-02-12 18:30:00,1.0369,1.0379,1.0349,1.0379,2025-02-12 18:45:00,-100.00000000001118,SL Hit
16,EURUSD,BUY,2025-02-13 11:45:00,1.04226,1.04126,1.04426,1.04126,2025-02-13 13:45:00,-99.99999999998897,SL Hit
17,EURUSD,SELL,2025-02-18 10:00:00,1.04567,1.04667,1.04367,1.04667,2025-02-18 10:15:00,-99.99999999998897,SL Hit
18,EURUSD,SELL,2025-02-21 17:15:00,1.04548,1.04648,1.04348,1.04648,2025-02-21 20:00:00,-100.00000000001118,SL Hit
19,EURUSD,BUY,2025-02-24 09:15:00,1.05045,1.04945,1.05245,1.04945,2025-02-24 09:30:00,-100.00000000001118,SL Hit
20,EURUSD,BUY,2025-02-24 11:15:00,1.04745,1.04645,1.04945,1.04723,2025-02-24 11:45:00,-21.99999999998869,Strategy Exit (EMA Cross)
21,EURUSD,SELL,2025-02-27 12:15:00,1.0475,1.0485,1.0455,1.0485,2025-02-27 13:00:00,-99.99999999998897,SL Hit
22,EURUSD,SELL,2025-02-28 03:30:00,1.0393,1.0403,1.0373,1.0403,2025-02-28 10:30:00,-100.00000000001118,SL Hit
23,EURUSD,SELL,2025-02-28 11:45:00,1.03955,1.04055,1.03755,1.04055,2025-02-28 12:45:00,-100.00000000001118,SL Hit
24,EURUSD,BUY,2025-03-03 23:00:00,1.04858,1.04758,1.05058,1.04758,2025-03-04 05:30:00,-100.00000000001118,SL Hit
25,EURUSD,BUY,2025-03-05 06:00:00,1.06209,1.06109,1.06409,1.06409,2025-03-05 09:00:00,200.00000000000017,TP Hit
26,EURUSD,BUY,2025-03-07 14:45:00,1.08546,1.08446,1.08746,1.08446,2025-03-07 15:30:00,-100.00000000001118,SL Hit
27,EURUSD,BUY,2025-03-14 18:15:00,1.08774,1.08674,1.08974,1.08829,2025-03-17 10:00:00,55.00000000000504,Strategy Exit (EMA Cross)
28,EURUSD,BUY,2025-03-18 15:15:00,1.09173,1.09073,1.09373,1.09073,2025-03-18 15:30:00,-100.00000000001118,SL Hit
29,EURUSD,SELL,2025-03-19 14:30:00,1.09139,1.09239,1.08939,1.08939,2025-03-19 15:15:00,200.00000000000017,TP Hit
30,EURUSD,SELL,2025-03-19 21:30:00,1.08973,1.09073,1.08773,1.09073,2025-03-20 00:00:00,-99.99999999998897,SL Hit
31,EURUSD,SELL,2025-03-20 19:30:00,1.08432,1.08532,1.08232,1.08532,2025-03-20 21:15:00,-100.00000000001118,SL Hit
32,EURUSD,SELL,2025-03-21 10:15:00,1.08273,1.08373,1.08073,1.08373,2025-03-21 11:00:00,-100.00000000001118,SL Hit
33,EURUSD,SELL,2025-03-21 14:30:00,1.08397,1.08497,1.08197,1.08197,2025-03-21 16:30:00,200.00000000000017,TP Hit
34,EURUSD,SELL,2025-03-21 21:30:00,1.08164,1.08264,1.07964,1.08264,2025-03-24 00:00:00,-100.00000000001118,SL Hit
35,EURUSD,SELL,2025-03-24 21:30:00,1.07999,1.08099,1.07799,1.07799,2025-03-25 10:00:00,200.00000000000017,TP Hit
36,EURUSD,SELL,2025-03-26 05:30:00,1.07904,1.08004,1.07704,1.08004,2025-03-26 11:30:00,-99.99999999998897,SL Hit
37,EURUSD,BUY,2025-03-27 21:30:00,1.07981,1.07881,1.08181,1.07881,2025-03-28 02:30:00,-99.99999999998897,SL Hit
38,EURUSD,BUY,2025-03-28 20:45:00,1.08241,1.08141,1.08441,1.08141,2025-03-31 00:30:00,-100.00000000001118,SL Hit
39,EURUSD,SELL,2025-04-01 12:45:00,1.0817,1.0827,1.0797,1.0797,2025-04-01 13:00:00,200.00000000000017,TP Hit
40,EURUSD,BUY,2025-04-03 02:00:00,1.08545,1.08445,1.08745,1.08745,2025-04-03 02:15:00,200.00000000000017,TP Hit
41,EURUSD,SELL,2025-04-04 15:45:00,1.10192,1.10292,1.09992,1.10292,2025-04-04 16:00:00,-99.99999999998897,SL Hit
42,EURUSD,BUY,2025-04-08 11:30:00,1.09447,1.09347,1.09647,1.09347,2025-04-08 11:45:00,-100.00000000001118,SL Hit
43,EURUSD,BUY,2025-04-09 11:45:00,1.10269,1.10169,1.10469,1.10169,2025-04-09 12:00:00,-99.99999999998897,SL Hit
44,EURUSD,BUY,2025-04-10 23:00:00,1.11952,1.11852,1.12152,1.11852,2025-04-10 23:15:00,-100.00000000001118,SL Hit
45,EURUSD,BUY,2025-04-11 10:00:00,1.13333,1.13233,1.13533,1.13233,2025-04-11 10:15:00,-99.99999999998897,SL Hit
46,EURUSD,BUY,2025-04-11 15:45:00,1.13949,1.13849,1.14149,1.13849,2025-04-11 16:00:00,-99.99999999998897,SL Hit
47,EURUSD,BUY,2025-04-21 14:45:00,1.15424,1.15324,1.15624,1.15324,2025-04-21 15:15:00,-99.99999999998897,SL Hit
48,EURUSD,BUY,2025-04-21 19:00:00,1.15101,1.15001,1.15301,1.15001,2025-04-21 20:00:00,-100.00000000001118,SL Hit
49,EURUSD,SELL,2025-04-23 05:45:00,1.14041,1.14141,1.13841,1.13841,2025-04-23 06:15:00,200.00000000000017,TP Hit
50,EURUSD,SELL,2025-04-25 11:30:00,1.13482,1.13582,1.13282,1.13582,2025-04-25 12:15:00,-100.00000000001118,SL Hit
51,EURUSD,BUY,2025-04-29 03:00:00,1.14151,1.14051,1.14351,1.14051,2025-04-29 03:15:00,-100.00000000001118,SL Hit
52,EURUSD,SELL,2025-05-01 12:15:00,1.13212,1.13312,1.13012,1.13312,2025-05-01 13:45:00,-99.99999999998897,SL Hit
53,EURUSD,SELL,2025-05-05 02:15:00,1.13114,1.13214,1.12914,1.13214,2025-05-05 02:45:00,-99.99999999998897,SL Hit
54,EURUSD,SELL,2025-05-05 23:15:00,1.13116,1.13216,1.12916,1.12916,2025-05-06 03:15:00,200.00000000000017,TP Hit
55,EURUSD,BUY,2025-05-06 13:30:00,1.13218,1.13118,1.13418,1.13418,2025-05-06 15:30:00,200.00000000000017,TP Hit
56,EURUSD,SELL,2025-05-08 04:00:00,1.1320000000000001,1.133,1.13,1.133,2025-05-08 04:45:00,-99.99999999998897,SL Hit
57,EURUSD,SELL,2025-05-09 02:15:00,1.12238,1.12338,1.12038,1.12038,2025-05-09 05:00:00,200.00000000000017,TP Hit
58,EURUSD,BUY,2025-05-09 21:00:00,1.12611,1.12511,1.12811,1.12511,2025-05-09 22:15:00,-99.99999999998897,SL Hit
59,EURUSD,SELL,2025-05-12 17:15:00,1.11147,1.11247,1.10947,1.11247,2025-05-12 17:30:00,-100.00000000001118,SL Hit
60,EURUSD,BUY,2025-05-14 15:45:00,1.12248,1.12148,1.12448,1.12148,2025-05-14 16:00:00,-99.99999999998897,SL Hit
61,EURUSD,SELL,2025-05-15 03:15:00,1.11878,1.11978,1.11678,1.11978,2025-05-15 04:15:00,-99.99999999998897,SL Hit
62,EURUSD,SELL,2025-05-16 23:00:00,1.11507,1.11607,1.11307,1.11607,2025-05-16 23:45:00,-99.99999999998897,SL Hit
63,EURUSD,SELL,2025-05-19 01:00:00,1.11858,1.11958,1.11658,1.11841,2025-05-19 02:30:00,17.000000000000348,Strategy Exit (EMA Cross)
64,EURUSD,BUY,2025-05-19 16:45:00,1.12508,1.12408,1.12708,1.12408,2025-05-19 18:45:00,-100.00000000001118,SL Hit
65,EURUSD,BUY,2025-05-19 19:45:00,1.12347,1.12247,1.12547,1.12247,2025-05-19 20:15:00,-99.99999999998897,SL Hit
66,EURUSD,BUY,2025-05-19 22:15:00,1.12354,1.12254,1.12554,1.12254,2025-05-20 03:00:00,-99.99999999998897,SL Hit
67,EURUSD,BUY,2025-05-23 15:30:00,1.13479,1.13379,1.13679,1.13379,2025-05-23 15:45:00,-99.99999999998897,SL Hit
68,EURUSD,BUY,2025-05-26 14:00:00,1.13807,1.13707,1.14007,1.13747,2025-05-26 14:30:00,-59.999999999993385,Strategy Exit (EMA Cross)
