id,symbol,type,entry_time,entry_price,sl,tp,exit_price,exit_time,pnl_pips,comment
1,USDJPY,SELL,2025-01-02 04:50:00,157.287,157.302,157.257,157.257,2025-01-02 05:00:00,30.000000000001137,SL/TP
2,USDJPY,BUY,2025-01-02 11:55:00,156.791,156.776,156.821,156.821,2025-01-02 12:00:00,30.000000000001137,SL/TP
3,USDJPY,SELL,2025-01-02 15:40:00,156.76,156.775,156.73,156.775,2025-01-02 15:45:00,-15.00000000001478,SL/TP
4,USDJPY,BUY,2025-01-02 17:55:00,157.148,157.133,157.178,157.133,2025-01-02 18:00:00,-14.999999999986358,SL/TP
5,USDJPY,SELL,2025-01-03 00:00:00,157.467,157.482,157.437,157.437,2025-01-03 00:05:00,30.000000000001137,SL/TP
6,USDJPY,BUY,2025-01-03 05:50:00,157.431,157.416,157.461,157.416,2025-01-03 05:55:00,-15.00000000001478,SL/TP
7,USDJPY,SELL,2025-01-03 07:10:00,157.335,157.35,157.305,157.35,2025-01-03 07:15:00,-14.999999999986358,SL/TP
8,USDJPY,BUY,2025-01-03 07:20:00,157.308,157.293,157.338,157.293,2025-01-03 07:25:00,-14.999999999986358,SL/TP
9,USDJPY,SELL,2025-01-03 07:25:00,157.287,157.302,157.257,157.302,2025-01-03 07:30:00,-14.999999999986358,SL/TP
10,USDJPY,BUY,2025-01-03 10:50:00,157.325,157.31,157.355,157.355,2025-01-03 10:55:00,30.000000000001137,SL/TP
11,USDJPY,SELL,2025-01-03 12:15:00,157.235,157.25,157.205,157.205,2025-01-03 12:20:00,30.000000000001137,SL/TP
12,USDJPY,BUY,2025-01-03 12:35:00,157.281,157.266,157.311,157.311,2025-01-03 12:40:00,30.000000000001137,SL/TP
13,USDJPY,SELL,2025-01-03 14:20:00,157.136,157.151,157.106,157.151,2025-01-03 14:25:00,-15.00000000001478,SL/TP
14,USDJPY,BUY,2025-01-03 16:50:00,157.182,157.167,157.212,157.167,2025-01-03 16:55:00,-14.999999999986358,SL/TP
15,USDJPY,SELL,2025-01-03 19:15:00,156.929,156.944,156.899,156.944,2025-01-03 19:20:00,-14.999999999986358,SL/TP
16,USDJPY,BUY,2025-01-03 22:25:00,157.164,157.149,157.194,157.149,2025-01-03 22:30:00,-14.999999999986358,SL/TP
17,USDJPY,SELL,2025-01-06 08:55:00,157.648,157.663,157.618,157.618,2025-01-06 09:00:00,30.000000000001137,SL/TP
18,USDJPY,BUY,2025-01-06 11:10:00,157.702,157.687,157.732,157.732,2025-01-06 11:15:00,30.000000000001137,SL/TP
19,USDJPY,SELL,2025-01-06 13:45:00,157.341,157.356,157.311,157.311,2025-01-06 13:50:00,30.000000000001137,SL/TP
20,USDJPY,BUY,2025-01-06 17:05:00,157.465,157.45,157.495,157.45,2025-01-06 17:10:00,-15.00000000001478,SL/TP
21,USDJPY,SELL,2025-01-06 21:20:00,157.535,157.55,157.505,157.505,2025-01-06 21:30:00,30.000000000001137,SL/TP
22,USDJPY,BUY,2025-01-06 22:05:00,157.51,157.495,157.54,157.54,2025-01-06 22:15:00,30.000000000001137,SL/TP
23,USDJPY,SELL,2025-01-07 08:05:00,157.693,157.708,157.663,157.708,2025-01-07 08:10:00,-14.999999999986358,SL/TP
24,USDJPY,BUY,2025-01-07 12:55:00,157.744,157.729,157.774,157.774,2025-01-07 13:00:00,30.000000000001137,SL/TP
25,USDJPY,SELL,2025-01-07 15:50:00,157.728,157.743,157.698,157.698,2025-01-07 15:55:00,30.000000000001137,SL/TP
26,USDJPY,BUY,2025-01-07 17:05:00,158.393,158.378,158.423,158.378,2025-01-07 17:10:00,-15.00000000001478,SL/TP
27,USDJPY,SELL,2025-01-07 19:25:00,157.769,157.784,157.739,157.739,2025-01-07 19:30:00,30.000000000001137,SL/TP
28,USDJPY,BUY,2025-01-07 21:45:00,157.779,157.764,157.809,157.764,2025-01-07 21:50:00,-14.999999999986358,SL/TP
29,USDJPY,SELL,2025-01-07 22:10:00,157.756,157.771,157.726,157.771,2025-01-07 22:30:00,-14.999999999986358,SL/TP
30,USDJPY,BUY,2025-01-07 22:45:00,157.804,157.789,157.834,157.834,2025-01-07 22:55:00,30.000000000001137,SL/TP
31,USDJPY,SELL,2025-01-08 03:15:00,158.074,158.089,158.044,158.044,2025-01-08 03:20:00,30.000000000001137,SL/TP
32,USDJPY,BUY,2025-01-08 05:25:00,158.2,158.185,158.23,158.185,2025-01-08 05:35:00,-14.999999999986358,SL/TP
33,USDJPY,SELL,2025-01-08 08:20:00,158.093,158.108,158.063,158.063,2025-01-08 08:25:00,30.000000000001137,SL/TP
34,USDJPY,BUY,2025-01-08 10:40:00,158.206,158.191,158.236,158.191,2025-01-08 10:45:00,-14.999999999986358,SL/TP
35,USDJPY,SELL,2025-01-08 16:00:00,158.18,158.195,158.15,158.195,2025-01-08 16:05:00,-14.999999999986358,SL/TP
36,USDJPY,BUY,2025-01-08 18:30:00,158.366,158.351,158.396,158.351,2025-01-08 18:40:00,-15.00000000001478,SL/TP
37,USDJPY,SELL,2025-01-08 23:00:00,158.363,158.378,158.333,158.378,2025-01-08 23:05:00,-14.999999999986358,SL/TP
38,USDJPY,BUY,2025-01-09 07:45:00,158.073,158.058,158.103,158.058,2025-01-09 07:50:00,-15.00000000001478,SL/TP
39,USDJPY,SELL,2025-01-09 11:20:00,158.089,158.104,158.059,158.059,2025-01-09 11:30:00,30.000000000001137,SL/TP
